;year;winter_cumulative_events;winter_cumulative_duration;winter_cumulative_deficit;winter_max_deficit;spring_cumulative_events;spring_cumulative_duration;spring_cumulative_deficit;spring_max_deficit;summer_cumulative_events;summer_cumulative_duration;summer_cumulative_deficit;summer_max_deficit;autumn_cumulative_events;autumn_cumulative_duration;autumn_cumulative_deficit;autumn_max_deficit
98;1999;1;6;774.6414102852;190.77356838086666;0;0;0.0;0.0;1;16;2912.3770940938675;280.77356838086666;2;69;26013.376218279802;790.7735683808667
99;2000;2;24;7320.565641140803;460.77356838086666;0;0;0.0;0.0;1;16;3228.3770940938675;367.77356838086666;5;49;8220.904850662468;372.77356838086666
100;2001;2;3;35.32070514259999;23.773568380866664;0;0;0.0;0.0;0;0;0.0;0.0;3;64;19741.508376375466;568.7735683808667
101;2002;3;32;7373.754188187734;420.77356838086666;2;12;1434.2828205704;241.77356838086666;4;35;4986.074893330334;286.77356838086666;5;35;7346.074893330335;548.7735683808667
102;2003;0;0;0.0;0.0;3;68;18082.602649898923;514.7735683808667;2;157;106032.45023579615;1153.7735683808667;0;0;0.0;0.0
103;2004;1;71;46865.92335504149;899.7735683808667;3;66;20848.055513137202;517.7735683808667;2;86;26119.526880754547;636.7735683808667;1;56;26654.319829328553;828.7735683808667
104;2005;4;51;17638.4519874242;774.7735683808667;2;25;4783.339209521668;411.77356838086666;1;76;25720.791196945887;570.7735683808667;2;96;61908.26256456313;977.7735683808667
105;2006;2;62;39324.96123961374;909.7735683808667;1;7;2175.4149786660664;442.77356838086666;3;50;20698.67841904334;747.7735683808667;6;65;23979.28194475633;744.7735683808667
106;2007;2;26;9840.112777902536;675.7735683808667;2;35;12983.07489333033;642.7735683808667;2;13;1716.0563889512666;335.77356838086666;2;57;26499.093397709406;821.7735683808667
107;2008;3;22;5738.018504379068;470.77356838086666;1;15;5092.6035257130015;481.77356838086666;4;41;6266.716303615535;371.77356838086666;2;60;20715.414102851995;641.7735683808667
108;2009;5;67;25780.829081518066;748.7735683808667;1;1;0.7735683808666636;0.7735683808666636;5;31;3336.980619806867;214.77356838086666;2;112;70556.63965865703;1048.7735683808667
109;2010;3;18;2470.9242308556;242.77356838086666;3;37;11390.622030092065;602.7735683808667;3;33;8538.527756568603;484.77356838086666;2;47;18700.357713900725;621.7735683808667
110;2011;1;7;1475.4149786660666;315.77356838086666;1;118;75177.28106894226;991.7735683808667;2;32;11801.754188187733;742.7735683808667;3;128;76095.01675275093;1084.7735683808667
111;2012;0;0;0.0;0.0;2;79;19715.111902088458;484.77356838086666;4;57;21908.093397709403;730.7735683808667;2;48;14558.131282281593;536.7735683808667
112;2013;2;13;2390.056388951267;356.77356838086666;2;10;971.7356838086666;195.77356838086666;1;15;2937.6035257130006;293.77356838086666;3;61;23357.187671232874;758.7735683808667
113;2014;1;19;2722.6977992364673;307.77356838086666;1;60;28475.41410285202;730.7735683808667;1;63;23999.73480799461;809.7735683808667;6;47;10777.357713900736;580.7735683808667
114;2015;2;20;4990.471367617334;440.77356838086666;3;21;2100.2449359982;180.77356838086666;3;152;111854.58239389188;1085.7735683808667;0;0;0.0;0.0
115;2016;2;36;15786.848461711197;805.7735683808667;1;10;964.7356838086666;152.77356838086666;0;0;0.0;0.0;1;86;55119.526880754485;989.7735683808667
116;2017;2;83;61693.20617561187;1023.7735683808667;3;50;20730.678419043328;698.7735683808667;4;66;26762.055513137206;675.7735683808667;3;98;37302.80970132494;672.7735683808667
117;2018;0;0;0.0;0.0;0;0;0.0;0.0;3;183;156608.56301369856;1206.7735683808667;0;0;0.0;0.0
118;2019;3;19;4908.697799236466;566.7735683808667;3;61;17444.18767123286;578.7735683808667;2;93;38590.941859420614;846.7735683808667;3;33;12565.527756568603;736.7735683808667
119;2020;4;41;11052.716303615536;578.7735683808667;1;80;37684.88547046934;787.7735683808667;1;130;68005.56388951257;962.7735683808667;0;0;0.0;0.0
120;2021;2;63;33645.734807994624;842.7735683808667;2;55;16983.54626094766;746.7735683808667;0;0;0.0;0.0;3;97;60293.036132944064;936.7735683808667
121;2022;2;24;5952.565641140802;525.7735683808667;2;43;18319.263440377257;727.7735683808667;1;155;111623.90309903452;1200.7735683808667;1;43;20458.263440377268;661.7735683808667
122;2023;2;31;13689.980619806865;764.7735683808667;1;28;11771.659914664266;624.7735683808667;1;71;37773.923355041516;868.7735683808667;2;75;44328.017628564994;965.7735683808667
123;2024;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;2;73;26369.47049180326;653.7735683808667
124;2025;0;0;0.0;0.0;2;99;51931.583269705734;854.7735683808667;3;41;22277.716303615533;824.7735683808667;1;11;5391.509252189534;754.7735683808667
