;year;winter_cumulative_events;winter_cumulative_duration;winter_cumulative_deficit;winter_max_deficit;spring_cumulative_events;spring_cumulative_duration;spring_cumulative_deficit;spring_max_deficit;summer_cumulative_events;summer_cumulative_duration;summer_cumulative_deficit;summer_max_deficit;autumn_cumulative_events;autumn_cumulative_duration;autumn_cumulative_deficit;autumn_max_deficit
60;1961;2;17;523.0542465753425;95.53260273972603;0;0;0.0;0.0;1;158;18567.151232876746;199.53260273972603;0;0;0.0;0.0
61;1962;3;27;1846.3802739726016;135.53260273972603;0;0;0.0;0.0;3;259;48421.94410958906;270.53260273972603;0;0;0.0;0.0
62;1963;0;0;0.0;0.0;2;16;705.5216438356165;85.53260273972603;3;314;54451.23726027391;274.53260273972603;0;0;0.0;0.0
63;1964;0;0;0.0;0.0;2;98;19118.195068493158;302.53260273972603;1;2;604.0652054794521;302.53260273972603;2;87;18517.33643835617;313.53260273972603
64;1965;6;62;3735.021369863012;140.53260273972603;2;27;860.3802739726028;76.53260273972603;0;0;0.0;0.0;1;115;12524.249315068482;160.53260273972603
65;1966;0;0;0.0;0.0;0;0;0.0;0.0;2;22;868.7172602739727;79.53260273972603;1;3;24.59780821917809;10.53260273972603
66;1967;0;0;0.0;0.0;0;0;0.0;0.0;1;47;3979.0323287671204;129.53260273972603;1;73;3873.879999999995;118.53260273972603
67;1968;0;0;0.0;0.0;0;0;0.0;0.0;2;94;10897.064657534238;179.53260273972603;0;0;0.0;0.0
68;1969;2;41;2436.8367123287667;107.53260273972603;1;5;120.66301369863015;36.53260273972603;1;211;34971.37917808231;213.53260273972603;0;0;0.0;0.0
69;1970;0;0;0.0;0.0;1;7;261.7282191780822;74.53260273972603;1;28;3090.912876712327;145.53260273972603;3;49;3227.0975342465745;145.53260273972603
70;1971;2;7;98.72821917808221;23.53260273972603;0;0;0.0;0.0;3;159;23509.683835616514;215.53260273972603;0;0;0.0;0.0
71;1972;2;93;11372.532054794512;180.53260273972603;2;8;167.26082191780824;41.53260273972603;5;60;5841.956164383559;199.53260273972603;2;205;25364.183561643928;217.53260273972603
72;1973;0;0;0.0;0.0;1;4;127.13041095890412;38.53260273972603;1;244;39013.95506849316;264.53260273972603;0;0;0.0;0.0
